name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
aeolak_stock,2023-07-30T00:00:00.000+00:00,buy,97,15.0,36.0,21.0,25.0,25.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-31T00:00:00.000+00:00,closed,14,25.0,49.0,24.0,35.0,37.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-26T00:00:00.000+00:00,sell,86,35.0,60.0,25.0,48.5,47.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-29T00:00:00.000+00:00,buy,89,15.0,32.0,17.0,25.0,23.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-30T00:00:00.000+00:00,closed,9,35.0,45.0,10.0,40.0,40.0,,626ca573f40db600829c9d11
afuris_prime_barrel,2023-07-31T00:00:00.000+00:00,closed,26,1.0,7.0,6.0,5.0,4.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-30T00:00:00.000+00:00,closed,44,2.0,8.0,6.0,5.0,5.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-27T00:00:00.000+00:00,sell,220,1.0,10.0,9.0,5.0,5.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-27T00:00:00.000+00:00,buy,1006,1.0,4.0,3.0,4.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-26T00:00:00.000+00:00,closed,20,3.0,7.0,4.0,5.0,5.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-27T00:00:00.000+00:00,closed,22,4.0,5.0,1.0,4.0,4.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-30T00:00:00.000+00:00,sell,192,3.0,12.0,9.0,5.5,7.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-31T00:00:00.000+00:00,buy,112,1.0,4.0,3.0,3.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-29T00:00:00.000+00:00,buy,13,2.0,4.0,2.0,3.0,3.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-29T00:00:00.000+00:00,sell,204,2.0,12.0,10.0,6.0,7.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-26T00:00:00.000+00:00,buy,1014,1.0,4.0,3.0,3.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-08-01T00:00:00.000+00:00,buy,113,1.0,4.0,3.0,3.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-28T00:00:00.000+00:00,closed,37,3.0,7.0,4.0,5.0,5.0,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-29T00:00:00.000+00:00,closed,36,4.0,7.0,3.0,5.0,5.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-30T00:00:00.000+00:00,buy,116,1.0,4.0,3.0,3.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-31T00:00:00.000+00:00,sell,205,3.0,10.0,7.0,5.0,6.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-08-01T00:00:00.000+00:00,closed,24,4.0,5.0,1.0,5.0,4.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-26T00:00:00.000+00:00,sell,221,3.0,12.0,9.0,6.0,7.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-28T00:00:00.000+00:00,sell,208,3.0,10.0,7.0,5.0,6.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-07-28T00:00:00.000+00:00,buy,110,1.0,4.0,3.0,2.0,2.5,,639a941c74b02f008887784b
afuris_prime_barrel,2023-08-01T00:00:00.000+00:00,sell,153,3.0,9.0,6.0,5.0,6.0,,639a941c74b02f008887784b
afuris_prime_blueprint,2023-07-26T00:00:00.000+00:00,buy,1000,1.0,1.0,0.0,1.0,1.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-26T00:00:00.000+00:00,closed,6,1.0,2.0,1.0,2.0,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-08-01T00:00:00.000+00:00,buy,1,2.0,2.0,0.0,2.0,2.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-28T00:00:00.000+00:00,closed,16,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-28T00:00:00.000+00:00,buy,668,1.0,2.0,1.0,1.0,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-08-01T00:00:00.000+00:00,sell,173,1.0,6.0,5.0,2.0,3.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-28T00:00:00.000+00:00,sell,183,1.0,8.0,7.0,2.0,4.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-27T00:00:00.000+00:00,sell,218,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-08-01T00:00:00.000+00:00,closed,3,1.0,2.0,1.0,2.0,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-27T00:00:00.000+00:00,buy,1695,1.0,1.0,0.0,1.0,1.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-31T00:00:00.000+00:00,buy,3,1.0,2.0,1.0,1.0,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-31T00:00:00.000+00:00,sell,189,1.0,6.0,5.0,2.0,3.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-29T00:00:00.000+00:00,closed,7,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-29T00:00:00.000+00:00,buy,667,1.0,1.0,0.0,1.0,1.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-29T00:00:00.000+00:00,sell,173,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-31T00:00:00.000+00:00,closed,10,2.0,5.0,3.0,2.5,3.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-26T00:00:00.000+00:00,sell,190,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-30T00:00:00.000+00:00,closed,8,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-27T00:00:00.000+00:00,closed,6,1.0,2.0,1.0,1.5,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-30T00:00:00.000+00:00,buy,668,1.0,2.0,1.0,1.0,1.5,,639a941d74b02f008887784f
afuris_prime_blueprint,2023-07-30T00:00:00.000+00:00,sell,172,1.0,5.0,4.0,2.0,3.0,,639a941d74b02f008887784f
afuris_prime_link,2023-07-28T00:00:00.000+00:00,sell,181,3.0,7.0,4.0,4.0,5.0,,639a941d74b02f008887784d
