name,datetime,order_type,volume,min_price,max_price,avg_price,mod_rank,median,item_id,range
akbolto_prime_barrel,2023-08-24T00:00:00.000+00:00,closed,13,5.0,9.0,7.0,,6.0,5a311f85c2c9e90dfff475f7,4.0
akbolto_prime_barrel,2023-08-24T00:00:00.000+00:00,buy,10,2.0,3.0,2.5,,2.0,5a311f85c2c9e90dfff475f7,1.0
akbolto_prime_barrel,2023-08-24T00:00:00.000+00:00,sell,106,7.0,10.0,8.5,,9.0,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-23T00:00:00.000+00:00,closed,6,6.0,9.0,7.5,,8.5,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-23T00:00:00.000+00:00,buy,10003,2.0,3.0,2.5,,2.0,5a311f85c2c9e90dfff475f7,1.0
akbolto_prime_barrel,2023-08-23T00:00:00.000+00:00,sell,109,7.0,10.0,8.5,,9.0,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-22T00:00:00.000+00:00,closed,6,6.0,9.0,7.5,,8.0,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-22T00:00:00.000+00:00,buy,10014,1.0,4.0,2.5,,2.0,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-22T00:00:00.000+00:00,sell,109,7.0,10.0,8.5,,9.0,5a311f85c2c9e90dfff475f7,3.0
akbolto_prime_barrel,2023-08-21T00:00:00.000+00:00,closed,12,5.0,15.0,10.0,,6.0,5a311f85c2c9e90dfff475f7,10.0
akbolto_prime_barrel,2023-08-21T00:00:00.000+00:00,buy,10021,1.0,3.0,2.0,,2.0,5a311f85c2c9e90dfff475f7,2.0
akbolto_prime_barrel,2023-08-21T00:00:00.000+00:00,sell,124,4.0,14.0,9.0,,8.0,5a311f85c2c9e90dfff475f7,10.0
akbolto_prime_barrel,2023-08-17T00:00:00.000+00:00,closed,10,6.0,7.0,6.5,,6.0,5a311f85c2c9e90dfff475f7,1.0
akbolto_prime_barrel,2023-08-17T00:00:00.000+00:00,buy,10021,1.0,5.0,3.0,,3.0,5a311f85c2c9e90dfff475f7,4.0
akbolto_prime_barrel,2023-08-17T00:00:00.000+00:00,sell,118,5.0,14.0,9.5,,8.0,5a311f85c2c9e90dfff475f7,9.0
akbolto_prime_barrel,2023-08-16T00:00:00.000+00:00,closed,12,5.0,9.0,7.0,,7.0,5a311f85c2c9e90dfff475f7,4.0
akbolto_prime_barrel,2023-08-16T00:00:00.000+00:00,buy,10011,1.0,5.0,3.0,,2.0,5a311f85c2c9e90dfff475f7,4.0
akbolto_prime_barrel,2023-08-16T00:00:00.000+00:00,sell,129,4.0,10.0,7.0,,7.0,5a311f85c2c9e90dfff475f7,6.0
akbolto_prime_barrel,2023-08-15T00:00:00.000+00:00,closed,21,6.0,10.0,8.0,,7.0,5a311f85c2c9e90dfff475f7,4.0
akbolto_prime_barrel,2023-08-15T00:00:00.000+00:00,buy,10011,2.0,3.0,2.5,,2.0,5a311f85c2c9e90dfff475f7,1.0
akbolto_prime_barrel,2023-08-15T00:00:00.000+00:00,sell,145,5.0,11.0,8.0,,8.0,5a311f85c2c9e90dfff475f7,6.0
akbolto_prime_receiver,2023-08-24T00:00:00.000+00:00,closed,11,18.0,20.0,19.0,,20.0,5a311f83c2c9e90dfff475d4,2.0
akbolto_prime_receiver,2023-08-24T00:00:00.000+00:00,buy,93,3.0,16.0,9.5,,10.0,5a311f83c2c9e90dfff475d4,13.0
akbolto_prime_receiver,2023-08-24T00:00:00.000+00:00,sell,107,14.0,39.0,26.5,,24.0,5a311f83c2c9e90dfff475d4,25.0
akbolto_prime_receiver,2023-08-23T00:00:00.000+00:00,closed,16,18.0,25.0,21.5,,20.0,5a311f83c2c9e90dfff475d4,7.0
akbolto_prime_receiver,2023-08-23T00:00:00.000+00:00,buy,10133,3.0,15.0,9.0,,11.5,5a311f83c2c9e90dfff475d4,12.0
akbolto_prime_receiver,2023-08-23T00:00:00.000+00:00,sell,106,14.0,39.0,26.5,,24.0,5a311f83c2c9e90dfff475d4,25.0
akbolto_prime_receiver,2023-08-22T00:00:00.000+00:00,closed,19,13.0,30.0,21.5,,20.0,5a311f83c2c9e90dfff475d4,17.0
akbolto_prime_receiver,2023-08-22T00:00:00.000+00:00,buy,10126,5.0,16.0,10.5,,11.0,5a311f83c2c9e90dfff475d4,11.0
akbolto_prime_receiver,2023-08-22T00:00:00.000+00:00,sell,104,14.0,39.0,26.5,,25.0,5a311f83c2c9e90dfff475d4,25.0
akbolto_prime_receiver,2023-08-21T00:00:00.000+00:00,closed,24,18.0,30.0,24.0,,24.0,5a311f83c2c9e90dfff475d4,12.0
akbolto_prime_receiver,2023-08-21T00:00:00.000+00:00,buy,10157,4.0,16.0,10.0,,11.0,5a311f83c2c9e90dfff475d4,12.0
akbolto_prime_receiver,2023-08-21T00:00:00.000+00:00,sell,104,17.0,39.0,28.0,,25.0,5a311f83c2c9e90dfff475d4,22.0
akbolto_prime_receiver,2023-08-17T00:00:00.000+00:00,closed,15,18.0,25.0,21.5,,20.0,5a311f83c2c9e90dfff475d4,7.0
akbolto_prime_receiver,2023-08-17T00:00:00.000+00:00,buy,10137,1.0,20.0,10.5,,11.0,5a311f83c2c9e90dfff475d4,19.0
akbolto_prime_receiver,2023-08-17T00:00:00.000+00:00,sell,112,17.0,38.0,27.5,,23.0,5a311f83c2c9e90dfff475d4,21.0
akbolto_prime_receiver,2023-08-16T00:00:00.000+00:00,closed,21,14.0,24.0,19.0,,20.0,5a311f83c2c9e90dfff475d4,10.0
akbolto_prime_receiver,2023-08-16T00:00:00.000+00:00,buy,10117,6.0,20.0,13.0,,13.0,5a311f83c2c9e90dfff475d4,14.0
akbolto_prime_receiver,2023-08-16T00:00:00.000+00:00,sell,103,17.0,35.0,26.0,,23.0,5a311f83c2c9e90dfff475d4,18.0
akbolto_prime_receiver,2023-08-15T00:00:00.000+00:00,closed,28,15.0,25.0,20.0,,20.0,5a311f83c2c9e90dfff475d4,10.0
akbolto_prime_receiver,2023-08-15T00:00:00.000+00:00,buy,10128,3.0,19.0,11.0,,10.5,5a311f83c2c9e90dfff475d4,16.0
akbolto_prime_receiver,2023-08-15T00:00:00.000+00:00,sell,101,17.0,35.0,26.0,,22.0,5a311f83c2c9e90dfff475d4,18.0
akbolto_prime_set,2023-08-24T00:00:00.000+00:00,closed,8,70.0,80.0,75.0,,75.0,5a311f84c2c9e90dfff475f1,10.0
akbolto_prime_set,2023-08-24T00:00:00.000+00:00,buy,1029,20.0,64.0,42.0,,45.0,5a311f84c2c9e90dfff475f1,44.0
akbolto_prime_set,2023-08-24T00:00:00.000+00:00,sell,299,69.0,104.0,86.5,,84.0,5a311f84c2c9e90dfff475f1,35.0
akbolto_prime_set,2023-08-23T00:00:00.000+00:00,closed,5,61.0,84.0,72.5,,75.0,5a311f84c2c9e90dfff475f1,23.0
akbolto_prime_set,2023-08-23T00:00:00.000+00:00,buy,1141,20.0,65.0,42.5,,47.5,5a311f84c2c9e90dfff475f1,45.0
akbolto_prime_set,2023-08-23T00:00:00.000+00:00,sell,280,69.0,100.0,84.5,,85.0,5a311f84c2c9e90dfff475f1,31.0
akbolto_prime_set,2023-08-22T00:00:00.000+00:00,closed,7,65.0,80.0,72.5,,75.0,5a311f84c2c9e90dfff475f1,15.0
akbolto_prime_set,2023-08-22T00:00:00.000+00:00,buy,49,20.0,65.0,42.5,,45.0,5a311f84c2c9e90dfff475f1,45.0
akbolto_prime_set,2023-08-22T00:00:00.000+00:00,sell,285,70.0,100.0,85.0,,85.0,5a311f84c2c9e90dfff475f1,30.0
